access,aerial_photograph,architecture,botany_chk,bridge_chk,building_chk,church_chk,dam_chk,chipped_stone,condition,description_environment,description_position,easting,elevation,entered_by,entered_date,extraction_chk,geomorphology_chk,ground_stone_chk,hellenistic_or_roman_chk,iron_age_chk,intensive_survey_zone,kiln_chk,lithics_chk,locality,mine_adit_chk,medieval_or_ottoman_chk,modern_chk,northing,other_structure_chk,plot_village,posi_no,pottery,pottery_chk,prehistoric_chk,recorded_by,recorded_date,posi_references,road_chk,rock_chk,settlement_chk,shrine_chk,sheet_map_1_5000,village_plan,sia_number,sketch_chk,slag,slag_chk,source,summary,team_leader,threshing_floor_chk,tile,tomb_chk,topography,vegetation,view_chk,village,visibility_percent
Walk down Argaki tou Haji Christophi,,None,No,No,No,No,No,Some,,Bank of gully. Provenience of artefacts probably from the field just above to the west. Lying on loose stony surface; not far from original position.,"Core 1. 30 x 25 cm. Flakes off 3 sides and one corner. Carbonate has formed on some chipped surfacesCore 2. 30 x 20 cm. Flakes off all sides. Only small spots of carbonateCore 3. 12 x 9 cm. Very similar material to Core 2. Carbonate on some chipped surfaces. Collected as PU01Flake from core 1, with no carbonate; clearly late in reduction sequence. Another 6 pieces in field to West: 1 flake, c. 10 cm. Other cobbles with some cortex removed.",492264.00,236.00,MJG,31/7/2003 00:00:00,No,No,None,No,No,Atsas,No,Yes,Atsadhes,No,No,No,3882580.00,No,,TP207,Some,No,No,MJG,31/7/2003 00:00:00,,No,No,No,No,,,,Yes,Some,No,GPS,Jasper core and flakes,MJG,No,None,No,Riser above lowest river terrace,"Batha: mainly thyme, some spiny burnet",No,Linou,80.00
From Lemonas village,,None,No,No,No,No,No,None,,"Small gully incised into pillow lava, running west into Arodaphnis. Ploughed field with stubble immediately above, on river terrace. NB batha on other gullies (e.g. Arodaphnis) is almost entirely thyme.","One piece of Phorades-type slag, in plough soil spilling over from field into top of gully. Sherds scattered further down the bank. Nothing visible in field, though very bad visibility.",492646.00,261.00,MJG,2/8/2003 00:00:00,No,No,None,No,No,Atsas,No,No,Tanayies,No,No,No,3882048.00,No,,TP208,Some,Yes,No,MJG,2/8/2003 00:00:00,,No,No,No,No,,,,Yes,Some,Yes,GPS,Phorades-type slag and pottery,MJG,No,None,No,Bank of gully,"Batha, mostly spiny burnet",No,Evrykhou,50.00
"Sharp left turn off the main road, down past National Guard post",,Abundant,No,No,No,No,No,None,Declining,"It is between two streams, surrounded by straw fields, a fruit orchard and a cultivated cucumber field.  It is on the higher part of the rise between the two streams.","Structural remains constructed from river boulders.  On the top of one of the walls, there is part of a wall made of mudbrick.  The walls have been taken down and gathered into piles.  There has been a large amount of clearing in order to extend the cultivation area.  There are many pottery sherds in the walls in the form of chinking.",492800.00,266.00,AJG,4/8/2003 00:00:00,No,No,Some,No,No,Atsas,No,No,Tanayies,No,Yes,Yes,3882166.00,No,,TP209,Abundant,No,No,GAP,2/8/2003 00:00:00,,No,No,Yes,No,,,,Yes,None,No,GPS,Village of Lemonas,ATB,No,Unclear,No,Alluvial terrace above Atsas river,"wild grasses, thorns, thistles, ziziphus",No,Evrykhou,60.00
Via dirt track from Ayios Yeoryios read to south side of Alestos.,,Unclear,No,No,No,No,No,Some,Some of them have been distributed by a laying of water pipes.,On the west side of a former river and stretch from the valley up to the summit of a east facing slope. The lower part of the slope is terraced with mainly dry stack walls and some earthen walls and is under an orchard cultivation. The upper part is in a fallow state with wild grasses growing. Although small sections have been ploughed.,"PU21 - 30, 33 = one continous rock pile. There are no PU01, 07, 12.Forty-one rock piles have been recorded in the SIA and give PU numbers for collection purposes. They vary in size considerably from large piles several of which are over 7 m in length to much smaller piles of only 1.5 m in diameter. The rock piles most likely represent field clearence. Many of the stones in the area of high pottery density are believed to have been from structured remains of Roman times as the evidence of tile suggests.",501950.00,505.00,TNF,3/8/2003 00:00:00,No,No,Some,Yes,No,Xyliatos,No,No,Litharkies,No,No,No,3876100.00,No,,TP210,Some,No,No,AGR,3/8/2003 00:00:00,,No,Yes,No,No,29-XXVI,,TS05,No,None,No,Image Print,Series of rock piles throughout the block survey,AGR,No,Some,No,Gentle east facing slope with treads towards bottom near stream bed.,"Wild grasses, hawthorn, spiny burnet, olives, almonds, fruit trees.",No,Xyliatos,100.00
Dirt track from Ayios Yeoryios.,,None,No,No,No,No,No,None,Stable surface so the pottery collection remained in-situ.,Located at a sharp and abrupt break in an east facing slope that was recently bulldozed to expand area available for cropping. The area to the immediate North has been abandoned foir a long time.,"Small concentration of pottery, tile and ground stone. About 4 meters west of rock pile TP210 and PU18 and east of TP191, the well lining. It appears that the pottery and tile have been collected and piled at the edge of the field.",501905.00,517.00,TNF,3/8/2003 00:00:00,No,No,Some,Yes,No,Xyliatos,No,Yes,Litharkies,No,No,No,3876041.00,No,,TP211,Abundant,Yes,No,ABL,31/7/2003 00:00:00,,No,No,No,No,29-XXVI,,TS05,No,None,No,GPS,"Small concentration of pottery, tile and grindstone.",AGR,No,Abundant,No,6 degree slope,"Mixture of grasses, herbs and almond trees (grass is dominant)",No,Xyliatos,10.00
Dirt track from road between Ayios Yeoryios and TS10 to the top of Alestos,,Some,No,No,No,No,Yes,None,Eroded by alluvial action. Sides being 'eaten away'. Fifth from top already collapsed,"Narrow gully running down slope in E side of Alestos. Mixed trees: between almond orchards, most almonds now dead. Visible soil has loose covering of pebble/gravel. Below road","Series of eight check dams running down to bottom of slope in narrow gully. Angular basalt: cobble & boulder. No lichen. Support one tree each, olive or almond.Second from top 740 cm wide x 85 cm tall. Third from top 440 cm wide, 90 cm tall. Fifth from top 430 cm wide x 130 cm tall.Reentered after server failure, MJG 19 June 2004.",502492.00,518.00,TNF,3/8/2003 00:00:00,Yes,No,None,No,No,Xyliatos,No,No,Alestos,No,No,No,3876927.00,No,,TP213,None,No,No,RAB,2/8/2003 00:00:00,,No,No,No,No,29-XXVI,,TS05,No,None,No,GPS,Eight check dams,AGR,No,None,No,Gully on east-facing slope of Alestos,"Wild grass, olive, spiny burnet, almond, pine, cistus, thistle, heath?",No,Xyliatos,
Road to Stavros - 100m NNW.,,Abundant,No,No,No,No,Yes,Unclear,Gully appears to be heavily eroded.,Mountainous terrain.  Open forest.  Active erosion - no soil in gully and sparse vegetation.,"Series of check dams in gully, 8-10m apart.  At least 7 check dams, averaging 2.9m wide and 0.45m tall.  Running NNE to SSW.  Possible dam under myrtle and olive trees on SSE part of gully but is currently inaccessible.  Stones firmly placed but not mortared.  Have been in place long enough for the resevoirs to fill with sediment.",497925.00,499.00,SMJ,22/7/2003 00:00:00,Yes,No,Unclear,No,No,Asinou,No,No,Stavros,No,Yes,No,3877950.00,No,,TP157,Unclear,No,No,CLT,15/7/2003 00:00:00,,No,No,No,No,28-XXXII,,TS19,Yes,Unclear,No,Image Print,Series of check dams.,ESG,No,Unclear,No,"Highly eroded, steep gully slope.","Pine trees, cistus plants.",No,Nikitari,90.00
Firebreak,,None,No,No,No,No,No,None,Disused,Hillslope with gully developments - head of gully system just below ridge.,Shotgun cartridges down slope. 0.7m wide.  Path running SE to NW along contour of hill.  Disappears under firebreak to NW.  Visible in cadastral.,491360.00,602.00,JMC,7/8/2003 00:00:00,No,No,None,No,No,,No,No,Esso Ambelika,No,No,No,3876012.00,No,,TP224,None,No,No,JOS,4/8/2003 00:00:00,,Yes,No,No,No,,,,No,None,No,GPS,Path running SE to NW,SED,No,None,No,SW facing slope of hill.,"Broom grass, spiny burnet, wild olive, thistle, asphodel, hawthorn.",No,Tembria,20.00
"Main road Kakopetria to Nicosia, ridge-top, firebreak",,None,No,No,No,No,No,None,Disused,"Pine, terebinth, curry plants, cistus, spiny burnet, thyme, lichen and moss (covering soil).  Stream with reeds at bottom of slope. 24 degree slope.","Path running round contour of slope, cut by firebreak on ridge.  0.8m wide.  Some slump on path into gully.",491053.00,536.00,JMC,7/8/2003 00:00:00,No,No,None,No,No,,No,No,Esso Ambelika,No,No,No,3875984.00,No,,TP225,None,No,No,JOS,4/8/2003 00:00:00,,Yes,No,No,No,,,,Yes,None,No,GPS,Path,SED,No,None,No,Hillslope below ridge skirting gully,Light forests,No,Tembria,20.00
Dirt road to N of Potami,,Some,No,No,No,No,No,Some,Collapsed.,"Brow of low hill. ""Badlands"". Bedrock and scrub, no cultivation, thyme, spiny burnet, wild grasses, asphodel, centurion thistle, hawthorn, broom grass.Extensive hillslope terracing to east.","Collection of limestone rock with rubble walling, rock piles, cut depressions, possible structures, ground stone, 3 rock-hewn wells/cisterns scattered over area several hundred metres in diameter. Extends over several plots. Pottery of medieval to modern type. ( HU primarily )",502827.00,308.00,MAP,6/8/2003 00:00:00,No,No,Abundant,No,No,,No,No,Konnidhes,No,Yes,No,3882813.00,No,,TP226,Abundant,No,No,JOS,3/8/2003 00:00:00,,No,Yes,Yes,No,,,,Yes,Some,No,GPS,Abandoned settlement,SED,No,Some,No,Brow of low hill with river channel to East,Scrub/grass,No,Vyzakia,70.00
Forestry road branching southwest off road from Asinou to Spilia,,Some,Yes,No,No,No,No,None,Stable,Open forest,"Possible stone structure with three walls. Tree to the west has a resin tapping scar. As it stands the structure is approximately 2.5 x 2.5 m. The west wall is the best preserved of the three, and has been built using a natural rock out crop that is 1.6 m in height. The northern and eastern walls are less defined and are partially collapsed. The masonary is heavily lichenated. GU2409",495249.00,652.00,JPR,6/8/2003 00:00:00,Yes,No,None,No,No,Asinou,No,No,Trimitheri,No,No,No,3875629.00,Yes,,TP227,None,No,No,CLT,4/8/2003 00:00:00,,No,No,No,No,28-XXXI,,,Yes,None,No,GPS,Possible stone structure,ESG,No,None,No,20 degree slope leading down to a steep river gully,"Golden oak, pine, cistus",No,Nikitari,80.00
Forestry road branching southwest off road from Asinou to Spilia.,,Some,No,No,No,No,Yes,Unclear,,Hillslope above river. Older trees. Some natural outcrops around slope. Active erosional and depositional enviroment with high slope and very large boulders.,"Path running north to south. Connects up from river bottom (see TP231). First half of path has natural outcrops of rock along west slope. This changes to what seems to be the remains of some kind of wall-possiblt terraced. Three large boulders at the end of the section with cultural wall (see diagrams). Very clear and stable path covered with moss and pine needles. Path slopes south about 10 degrees (aspect is south). About 80 cm wide, cut into west upslope between 20-30 cm.   Wall is quite disturbed, rubble and not very well defined. Appears it was about 12 m long. Eroded downslope and path now crosses  through the north north west most point. Combination of 0.5 m diameter boulders and smaller rocks of about 10-15 cm. Follows the contour of the mountain to the west of the path. Most likely to be some kind of retaining wall.",495263.00,648.00,JPR,6/8/2003 00:00:00,Yes,No,Unclear,No,No,Asinou,No,No,Trimitheri,No,No,No,3875643.00,No,,TP228,Unclear,No,No,SMJ,4/8/2003 00:00:00,,Yes,No,No,No,28-XXXI,,,Yes,Unclear,No,GPS,Path following contour of mountains above river,ESG,No,Unclear,No,"Old hillslope, 20 degree slope","Wild grasses, cistus, old pine trees, golden oaks nearby",No,Nikitari,60.00
Southwest turn off forestry road from Asinou to Spilia.,,Abundant,No,No,No,No,Yes,None,Very stable,Open forest/riparian,Possible retaining wall 3 m in length and approximately 1.5 m high. Above it is a path approximately 3.5 m wide. On its southeastern side there is a smaller wall in a less stable state. On the southern end of the path there are more river boulders which may be associated with the two stone walls. The masonary is of relatively good quality. Boulders may have originally come from the river and are heavily lichenated. GU2408,495283.00,652.00,JPR,6/8/2003 00:00:00,No,No,None,No,No,Asinou,No,No,Trimitheri,No,No,No,3875521.00,Yes,,TP229,None,No,No,CLT,4/8/2003 00:00:00,,Yes,No,No,No,28-XXXI,,,Yes,None,No,GPS,Possible retaining wall,ESG,No,None,No,Steep bedrock slope,"Cistus, pine, golden oak, elm?",No,Nikitari,80.00
Southwest turn off forestry road from Asinou to Spilia,,Some,No,No,No,No,Yes,None,Both wall and path stable,"Forest located  on steep slope. Covered in pine needles. Cistus bushes growing along top of the wall. Path present to the north, overgrown with cistus bushes. Terrace and path located to the south east of the river channel.","A long stretch of wall approximately 10m long, 80cm tall and 50cm wide on a north west position. Composed of a base of large boulders possibly from the river or from outcrops located in the area. Wall is filled with small stones for chinking in middle section but then topped with larger rocks. Stones are covered with lichen (white, grey, green). Located to the south east of the river above the river channel.The path is 80cm wide. Terrace built and stone lined for support. Stable surface. Path goes in a SW/NE direction. Possible association with posi structures to the south east. Runs along the south east side of the river. Disturbed by forestry terracing. Path is associated with POSI'd wall to the north (see TP229). Tracked using GPS by CRR.",495273.00,643.00,JPR,4/8/2003 00:00:00,No,No,None,No,No,Asinou,No,No,Trimitheri,No,No,No,3875520.00,Yes,,TP230,None,No,No,ESG,4/8/2003 00:00:00,,Yes,No,No,No,28-XXXI,,,No,None,No,GPS,Long stretch of wall and associated path.,ESG,No,None,No,Colluvial hillslope above river channel.,"Pine trees, cistus, golden oak.",No,Nikitari,80.00
Via stream channel approximately 100-150 m from forestry road.,,Some,No,No,No,No,Yes,None,"Stable, with unstable margins buried with colluvial sediment.",Open forest/garrigue near riparian zone. Slopes of 15-20 degrees; easterly aspect. GU2310,Drystack stone wall 2.3 m above river on forested hillslope.,495270.00,644.00,JPR,6/7/2003 00:00:00,No,No,None,No,No,Asinou,No,No,Trimitheri,No,No,No,3875606.00,No,,TP231,None,No,No,CRR,4/8/2003 00:00:00,,No,No,No,No,28-XXXI,,,Yes,None,No,GPS,Stone terrace wall remnant,ESG,No,None,No,Steep hillslope eroded by stream channel,"Cistus, young Pinus brutia saplings, sparce grass (short) and golden oak.",No,Nikitari,90.00
Forestry road along W bank of river.,,None,No,No,No,No,No,None,Partly filled in.,Adjacent to forestry road on 37-40 degree slope. Cut into basalt sheeted dyke.  Partially obscured by road bulldozed cut.  Old paths and tracks (possibly forestry) below road cut.,"Width 1.6 m, Height 0.58 m (Exposed - probably twice that in truth).  Length 3.3 m.  Rock cut (cave) or adit. No clearly obvious resource to exploit in bulldozed section.  Lime/carbonate patina on lower part (caused by evaporation of water).  May have been truncated by bulldozed cut.  Visibility not applicable due to bulldozing, unsafe to enter.",498570.00,607.00,JMC,7/8/2003 00:00:00,Yes,No,None,No,No,,No,No,Leftolaonon,Yes,No,No,3876427.00,No,,TP232,None,No,No,JOS,6/8/2003 00:00:00,,No,No,No,No,,,,Yes,None,No,GPS,Rock cut (possible adit),SED,No,None,No,"Steep hillslope gully, tributary to the river Malla","Pine, cistus, broom grass, terebinth, caper, curry plant",No,Ayios Yeoryios Kaphkalo,100.00
Modern forestry road along river Malla,,None,No,No,No,No,No,None,Disused and overgrown.,"Hill slope along deeply incised river (Malla), western slope below modern forestry road. Forested with Pinus Brutia, Cistus, Hawthorn and Caper.","Bulldozed road widening older path visible at north extent. Disused and adapted probably for forestry use from original communication route. Met by more recent but also disused forestry road running from tributary to north west. Two bulldozed pushes along path, with path appearing at north east extent, with evidence or armouring to retain. 4.3m wide at bulldozed part, 1.5-1.8m wide at non-bulldozed part(to north east).",498558.00,585.00,ESP,7/8/2003 00:00:00,No,No,None,No,No,,No,No,Plevra tis Mosphilias,No,No,No,3876328.00,No,,TP233,None,No,No,JOS,6/8/2003 00:00:00,,Yes,No,No,No,,,,Yes,None,No,GPS,Path/Road,SED,No,None,No,Edge of hill slope above river Malla,"Pine forest, mixed ages (old looking)",No,Ayios Yeoryios,
Dirt track from Agios Georgios Road to south side of Alestos,,Abundant,No,No,No,No,Yes,None,The condition of most of the check dams are  mostly good and one looks as though it has been eroded by running water.,2 first order gullies meet to run southwest. The E-W gully runs from the western edge of TS05. A scattering of pine in the E-W and other N-S gully. N-S gully is more incised with a lot of pine on the E side of the second gully. W side of second gully is dominated by bedrock and scree and lower part of the gully where they join has an almond orchard with pine.,"Southern gully which is W facing has 8 check dams, the two lower ones cover the gully and there are 4 on northern gully and 2 on the southern gully (Y shape). Northern gully has 7 (N-S running) substantial check dams. Angular basalt cobble boulder. Check dams aren't really used, no trees on them. Lowest one in Y shape is 7.5m across and 1.1m high, the one above 7.5mx 1.4m high. Evidence of paths that go up and down the gully and across the dams. The check dams decline in length as they go up both the gullies. A decline in height in the E-W gully.",501794.00,482.00,ESP,7/8/2003 00:00:00,Yes,No,None,No,No,Xyliatos,No,No,Kokkinoplevra tou Alestou,No,No,No,3876195.00,No,,TP234,None,No,No,AKR,6/8/2003 00:00:00,,No,No,No,No,29-XXVI,,TS05,Yes,None,No,GPS,A series of 15 check dams in two first order gullies,AGR,No,None,No,Just before two separate gullies converge into one.,"Pine trees, Cistus, Almond trees, Olive trees, Thyme, Spiny Burnet, Wild grasses",No,Xyliatos,40.00
Dirt road along south side of Alestos,,Some,No,No,No,No,No,None,"The platform is clear, especially due to the very round shape but wild grasses are growing on it. The retaining wall is partly tumbled down.","The platform is located on upper part of steep south facing slope of western part of Alestos. The slope contains bedrock and vegetation of pine, hawthorn, cistus, wild grasses, spiny burnet and heath. The platform is located 8-10m south from TP115.",A circular platform cut into bedrock at the back and with a retaining wall of 1-2 courses at the front. The retaining wall is approx 10-15cm high. The diameter is 2m. The platform is about 1m below the level of the ridge.,501808.00,572.00,ESP,7/8/2003 00:00:00,No,No,None,No,No,Xyliatos,No,No,Kokkinoplevra tou Alestou,No,No,No,3876459.00,Yes,,TP235,None,No,No,CWA,6/8/2003 00:00:00,,No,No,No,No,29-XXVI,,TS05,No,None,No,GPS,Circular platform,AGR,No,None,No,Steep southwest facing slope,"Pine, Hawthorn, Cistus, Wild Grasses, Spiny Burnet, Heath",No,Xyliatos,90.00
east side of the road that runs to the east of TP221,,None,No,No,No,No,No,Abundant,Stable,it is on the slope to the west of the river that runs N-S.  It is surrounded by a straw fields.  The river is full of water plants,The slope between TP221 and the river that runs N-S.  Slope eroding pillow lava with abundant high quality red jasper.,491525.00,,AJG,7/8/2003 00:00:00,Yes,No,None,No,No,Atsas,No,Yes,Phoukasa,No,No,No,3882925.00,No,,TP236,Some,No,Yes,GAP,7/8/2003 00:00:00,,No,No,No,No,28-XIII,,TS20,No,None,No,Image Print,Jasper outcrop: lithic workshop,CJM,No,None,No,A steep slope to the western side of the river,"wild grass, asphodel, thistles, mosphilo, thyme",No,Petra,40.00
"South base of Skouriotissa, NW of TP221",,None,No,No,No,No,No,Abundant,stable,A gully surrounded by straw fields on the base of Skouriotissa mine,The south side of the gully that lies between Skouriotissa mine and TP221.  It is a jasper outcrop.  Slope eroding pillow lava with jasper outcrop in this.,491400.00,,AJG,7/8/2003 00:00:00,Yes,No,None,No,No,Atsas,No,Yes,Phoukasa,No,No,No,3883025.00,No,,TP237,Some,No,No,GAP,7/8/2003 00:00:00,,No,No,No,No,28-XIII,,TS20,No,Some,No,Image Print,Outcrop of pillow lava,CJM,No,None,No,"gully to the NW of TP221, on the south side of the gully","Wild grass, asphodel, thorns, zizyphus, thyme",No,Petra,80.00
Road to west,,None,No,No,No,No,No,Unclear,Deep-ploughed and disturbed,"Recently ploughed terraced field, with north-heading gully to east of field. Fairly intact surface in gully, with gossan on far (east) side. Good view down to Morphou plain and bay. Surface of field is relatively stable.","Southern boundary seemed evident where we stopped SU3005, on the edge of a terrace. The pottery and groundstone continues down two more terraces, petering out to the north. The area appeared to be about 20 m across. Pottery  - large fragments of thick pithoi, Red Polished, White Slip, Black Slip; some possibly handmade.Groundstone - fragments of grinders, possible hammerstones. Needs to be gridded (done on 8 Nov. 2003).",495030.00,324.00,ABK,8/11/2003 00:00:00,No,No,Abundant,No,No,Mandres,No,Yes,Mandroudhes,No,No,No,3880660.00,No,,TP239,Abundant,Yes,Yes,SMJ,5/11/2003 00:00:00,,No,No,Yes,No,,,,No,None,No,GPS,"Scatter of Bronze Age pottery, groundstone.",MJG,No,None,No,North facing pediment,None - ploughed terraces,No,Kato Koutraphas,90.00
"E of main Phlasou and Evrykhou road, near a nursery. Take Odos Ayiou Andromikou",,Abundant,No,No,No,No,No,None,stable,"On the slope of a ridge, almost at the bottom.","Horizontal band of outcrop of bedrock which runs E-W for roughly 15 meters.  2 adjacent visible sections with circular depressions in front of them.  You can seen underneath the ooutcrop and it has been iinfilled with soil.  In the eastern most depression there is a berry bush growing.  The eastern most outcrop is more rounded in shape, whilst the western outcrop is straighter.  The eastern outcrop has a much deeper depression in front of it.  The 2 depressions are 2.45 meters apart.8/7/04: Re-visit: ATB with KWJThe westernmost cut seems to have a flat roof, curving downward. Both cuts open to the south. KWJ thinks they are definitely tombs. GPS 490806E, 3878447N.",490825.00,405.00,AJG,20/7/2003 00:00:00,No,No,None,No,No,Karkotis,No,No,Ammos,No,No,No,3878435.00,No,,TP178,None,No,No,TWI,19/7/2003 00:00:00,,No,No,No,No,,,,Yes,None,No,Image Print,"2 infilled cuts into the bedrock, probable tombs",ATB,No,None,Yes,On S facing slope of a ridge,"Spiny burnet, berry bush, pine tree, thistle, thyme, wild grasses",No,Evrykhou,20.00
"From NE from a village street called ""Matsa Dromos""",,Abundant,No,No,No,No,No,,Well is in good condition but not used.  Olive mills have been demolished,"Small plot of land in the town, surrounded by houses.Citrus orchard, growing lemons and limes and orangesArea around the trees is not cultivated but is very overgrown with grasses and decaying plants.Obscured by rubbish, waste land and cars parking.Very large old olive stump.",Well. 6m to water line and 8.30 m to the bottom. The well dimensions are 95 x 95 cmStone-lined well in a citrus orchard near the centre of the town.  The orchard is in a plot of land surrounded by houses.  Well was used for drinking water for visitors and people using the oil press so not part of the industrial process.  Was a grinding stones which has been removed recently.Donkey shoe found next to mill. Citrus tree slump grown  near to well.,491028.00,446.00,BLB,19/7/2003 00:00:00,Yes,No,Some,No,No,,No,No,Village,No,Yes,Yes,3877554.00,Yes,1107,TP179,Abundant,No,No,TNF,19/7/2003 00:00:00,,No,No,No,No,28-,Evrykhou,,No,Some,No,GPS,2 olive oil mills and water well for workers,SED,No,Abundant,No,"Terraced, leveled ground.  Possibly overlooking gully to south","Overgrown grasses, citrus trees",No,Evrykhou,20.00
Dirt track leading from the road between Ayios Yeoryios road and TS10,,Some,No,No,No,No,No,None,Waterlogged but in good condition.,"The adit is located on the SE facing slope of Alestos on a slope of 22 degrees. It is almost completely made up of bare rock with cobble-sized rocks on the slope. The lichens have weathered the rock providing nutrients for the support of wild grasses, cistus, heath etc.","The modern spoil heap has covered a large area below the adit and may cover any artefacts from any earlier exploration. The dimensions of the spoil heap: from the entrance is 4 m and is 2.9 m across at this point and is sub-circular in shape. The mass of spoil extends 8 m horizontally down the slope which is at 32 degrees. The bottom of the spoil heap is 6 m wide. The spoil heap is of a similar order of size to that of TP112, the adit of which is more than 22 m deep. The entrance passage is 1 m wide at the front and there is 90 cm before the 1st step. Height of steps are 20 cm and 24 cm. The adit is filled with water and further steps continue below the water line. The chamber is 1.4 m wide and there are no obvious tool marks.",502370.00,577.00,RAB,21/7/2003 00:00:00,Yes,No,None,Yes,No,Xyliatos,No,No,Alestos,Yes,No,No,3876793.00,No,,TP180,None,No,No,AGR,20/7/2003 00:00:00,,No,No,No,No,29-XXVI,,,Yes,None,No,GPS,Large adit with steps and large modern spoil heap.,AGR,No,None,No,SE facing slope of bare bedrock at 22 degrees.,"Spiny Burnet, Heath. Young pine, Cistus, Wild grasses, Hawthorn.",No,Xyliatos,90.00
Dirt track leading from the road between Ayios Yeoryios road and TS10,,Some,No,No,No,No,No,None,"Partly filled with wash and covered with algae. Small pool of water, slightly collapsed but otherwise good.","The adit is located on the SE facing slope of Alestos on a slope of 22 degrees. It is almost completely made up of bare rock with cobble-sized rocks on the slope. The lichens have weathered the rock providing nutrients for the support of wild grasses, cistus, heath etc.","Adit is at least 3m deep, the back 70 cm is only a tiny whole as fill and some collapse have obscured precisely how far the adit is cut into the hill side. There is no clear spoil heap but a thin scattering of cobble- and pebble-sized bedrock downslope, much of which has probably been moved by colluvial processes. The width of opening is about 1m, the height inside the entrance is about 80 cm down to the fill. The entrance is 10 m above the entrance of TP180 in a NW direction.",502359.00,584.00,RAB,21/7/2003 00:00:00,Yes,No,None,Yes,No,Xyliatos,No,No,Alestos,Yes,No,No,3876792.00,No,,TP181,None,No,No,AGR,20/7/2003 00:00:00,,No,No,No,No,29-XXVI,,,Yes,None,No,GPS,Adit without spoil heap.,AGR,No,None,No,"SE facing slope at 22 degrees, bare rock.","Spiny Burnet, heath. young pine, cistus, Wild grasses, Hawthorn.",No,Xyliatos,90.00
Dirt track leading from the road between Ayios Yeoryios road and TS10,,Some,No,No,No,No,No,None,No obvious collapse,"The small exploratory cut is located on the SE facing slope of Alestos on a slope of 22 degrees. It is almost completely made up of bare rock with cobble-sized rocks on the slope. The lichens have weathered the rock providing nutrients for the support of wild grasses, cistus, heath etc.","Rectangular cut, 90 cm x 110 cm, clearly abandoned very early on. Some boulder- and cobble-sized rocks below represent a small amount of soil from this cut. Some fill covers the floor of the cut. The floor of the cut is 9.5 m upslope and NW of TP181",502357.00,594.00,RAB,21/7/2003 00:00:00,Yes,No,None,No,No,Xyliatos,No,No,Alestos,No,No,No,3876808.00,No,,TP182,None,No,No,CWA,20/7/2003 00:00:00,,No,No,No,No,29-XXVI,,,Yes,None,No,GPS,Small exploratory cut into the bedrock on E side of Alestos.,AGR,No,None,No,"SE facing slope at 22 degrees, bare rock.","Spiny Burnet, Heath. Young pine, Cistus, Wild grasses, Hawthorn, Asphodel.",No,Xyliatos,80.00
Dirt track leading from the road between Ayios Yeoryios road and TS10,,Some,No,No,No,No,No,None,"Fairly good, but overgrown on top and some of the wall has collapsed.","On E facing slope of Alestos, mainly bedrock. The vegetation is growing in pockets between the rocks.",Sub-circular platform cut into bedrock with retaining wall at the front made up of boulder- and cobble-sized stones. There are pebble-sized stones as fill behind the wall. Dimensions: 2.8 m wide and 2.2 m deep. The wall is 72 cm high.,502368.00,581.00,RAB,21/7/2003 00:00:00,No,No,None,No,No,Xyliatos,No,No,Alestos,No,No,No,3876829.00,Yes,,TP183,None,No,No,CWA,20/7/2003 00:00:00,,No,No,No,No,29-XXVI,,,No,None,No,GPS,Semi circular platform,AGR,No,None,No,Rocky steep slope on E side of Alestos.,"Spiny Burnet, Heath. pine, Cistus, Wild grasses, Hawthorn, Asphodel, lichen",No,Xyliatos,60.00
Dirt track leading from the road between Ayios Yeoryios road and TS10,,Some,No,No,No,No,No,None,"Good, but some collapsed boulders on the bottom which have fallen from the roof.",The adit is located on the SSE facing slope of Alestos on a slope of 32 degrees. It is almost completely made up of bare rock. The lichens have weathered the rock providing nutrients for the support of vegetation.,"2 entrances to an adit, but with no spoil heap. The distance between the upper and lower entrances is 2.55 m. Dimensions of upper entrance: 80 cm E-W, 1 m N-S, 1.8 m deep. Dimensions of lower entrance: 1 m N-S, 90 cm E-W, 2.8 m deep. The adit is Y-shaped and as there is no spoil heap it may be connected to the adit entrance with spoil heap further down the slope, TP180. The line of the cavity seems to direct itself towards TP180.",502356.00,592.00,RAB,21/7/2003 00:00:00,Yes,No,None,Yes,No,Xyliatos,No,No,Alestos,Yes,No,No,3876796.00,No,,TP184,None,No,No,CWA,20/7/2003 00:00:00,,No,No,No,No,29-XXVI,,,Yes,None,No,GPS,Adit with two entrances possibly connected to TP180,AGR,No,None,No,"SSE facing slope at 22 degrees, bare rock.","Spiny Burnet, Heath.  pine, Cistus, Wild grasses, Hawthorn, Asphodel.",No,Xyliatos,100.00
